               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10799,            0.041112,            0.040995,           0.0085632,             0.80187,            0.036471,           0.0081447,            0.051914,            0.019834,            0.024296,              0.0847,              0.0017,              0.0017
                   1,            0.084237,            0.048892,            0.038672,             0.20187,             0.24839,             0.14887,            0.039292,             0.04671,            0.018562,            0.024195,            0.068327,           0.0033267,           0.0033267
                   2,              0.0702,            0.046388,            0.036754,             0.16923,             0.39227,             0.16772,             0.05833,            0.039669,            0.020712,            0.023259,            0.051775,           0.0047753,           0.0047753
                   3,            0.064954,            0.042766,            0.035051,             0.12894,             0.55713,             0.19797,            0.081573,            0.046448,            0.015046,             0.02241,            0.035046,           0.0060456,           0.0060456
                   4,            0.060733,            0.038964,            0.034097,             0.37666,             0.59639,             0.50414,              0.2344,            0.040809,            0.012956,            0.021023,            0.018138,           0.0071378,           0.0071378
                   5,            0.058517,            0.036365,            0.032511,             0.48835,             0.76747,             0.64535,             0.25809,            0.038947,            0.011518,            0.020181,            0.007525,            0.007525,            0.007525
                   6,            0.055396,            0.034303,            0.032354,             0.50147,             0.79013,             0.69665,             0.26972,            0.034636,            0.010473,            0.019028,            0.007525,            0.007525,            0.007525
                   7,            0.052053,            0.033946,            0.031073,             0.64843,             0.84797,             0.73916,              0.2786,            0.032615,           0.0096165,            0.017309,             0.00703,             0.00703,             0.00703
                   8,            0.051168,             0.03218,            0.031246,             0.37101,             0.88676,              0.5323,             0.24127,            0.031661,           0.0097717,            0.015728,            0.006535,            0.006535,            0.006535
                   9,            0.047586,            0.030903,            0.029467,             0.86633,             0.93546,             0.88212,             0.43575,            0.025899,           0.0080308,            0.014021,             0.00604,             0.00604,             0.00604
                  10,            0.045236,            0.031988,             0.02764,             0.80189,             0.97165,             0.82319,             0.35321,            0.028535,           0.0079332,            0.013012,            0.005545,            0.005545,            0.005545
                  11,            0.044794,            0.030431,            0.026259,              0.8589,             0.93574,             0.92168,             0.51261,            0.025172,           0.0080952,            0.012371,             0.00505,             0.00505,             0.00505
                  12,            0.043525,             0.03034,            0.024603,             0.79049,             0.95188,             0.84201,             0.43771,            0.025466,           0.0076457,            0.012037,            0.004555,            0.004555,            0.004555
                  13,            0.041794,            0.029752,            0.023345,             0.86078,             0.97735,             0.90703,             0.48602,            0.024748,           0.0074627,            0.011723,             0.00406,             0.00406,             0.00406
                  14,            0.039391,            0.028355,            0.022256,             0.79966,             0.94628,             0.87366,             0.45513,            0.025053,           0.0075743,            0.011497,            0.003565,            0.003565,            0.003565
                  15,            0.039662,             0.02781,            0.021064,             0.75597,              0.9576,             0.89979,             0.52003,            0.024655,           0.0073196,            0.011459,             0.00307,             0.00307,             0.00307
                  16,            0.038201,              0.0284,            0.020757,             0.90436,              0.9829,             0.95384,              0.5496,            0.023798,            0.007283,            0.011152,            0.002575,            0.002575,            0.002575
                  17,            0.037559,            0.027979,            0.020507,              0.9029,             0.97146,              0.9574,             0.53465,            0.024342,           0.0072483,            0.011141,             0.00208,             0.00208,             0.00208
                  18,            0.035747,            0.026987,            0.019293,             0.91761,             0.99148,             0.96133,             0.60154,            0.022524,           0.0072163,            0.010908,            0.001585,            0.001585,            0.001585
                  19,            0.035462,            0.027625,            0.019412,             0.90819,             0.99301,             0.96389,             0.62708,            0.021863,           0.0069939,            0.010834,             0.00109,             0.00109,             0.00109
